case_id,created_at,completed_at,business_unit,department,country,vendor_id,vendor_tier,material_category,amount_usd,priority,channel,variant_ground_truth,event_count,rework_count,cycle_time_hours,sla_target_hours,sla_breached,fitness,conformant,touch_time_hours,estimated_wait_hours,automation_rate
P2P-000019,2025-05-08 05:38:55+00:00,2025-05-17 09:22:49+00:00,Industrial Systems,Operations,Poland,V-009,A,Professional Services,60957.27,Standard,ERP Portal,happy_path+late_delivery,14,0,219.7318,240.0,False,0.9285714285714286,False,3.1515,216.58016666666666,0.35714285714285715
P2P-000020,2025-08-30 06:41:45+00:00,2025-09-15 23:23:26+00:00,Consumer Products,Finance,Germany,V-080,C,Facilities,5396.5,Standard,Catalog,payment_rework,16,2,400.6948,240.0,True,0.8125,False,4.737333333333334,395.9573888888889,0.3125
P2P-000021,2025-08-03 15:19:14+00:00,2025-08-13 03:08:30+00:00,Industrial Systems,Finance,Türkiye,V-022,B,MRO,7057.32,Standard,ERP Portal,invoice_discrepancy,15,0,227.8211,240.0,False,0.8666666666666667,False,4.490333333333334,223.3307777777778,0.3333333333333333
P2P-000022,2026-06-18 21:59:33+00:00,2026-06-26 16:18:53+00:00,Corporate Services,Information Technology,Netherlands,V-031,B,Facilities,9328.1,Strategic,Catalog,happy_path,13,0,186.3224,336.0,False,1.0,True,3.197166666666667,183.12505555555555,0.38461538461538464
P2P-000023,2026-04-17 20:43:52+00:00,2026-04-23 02:46:11+00:00,Corporate Services,Information Technology,Türkiye,V-032,B,MRO,13244.57,Urgent,ERP Portal,three_way_match_failure,14,0,126.0388,120.0,True,0.7857142857142857,False,3.0785,122.9601111111111,0.35714285714285715
P2P-000024,2025-11-01 17:58:02+00:00,2025-11-09 08:45:12+00:00,Consumer Products,Information Technology,Türkiye,V-047,B,Professional Services,4112.08,Standard,Catalog,happy_path,13,0,182.7862,240.0,False,1.0,True,3.813,178.9731111111111,0.38461538461538464
P2P-000025,2025-06-09 03:58:50+00:00,2025-06-21 05:11:13+00:00,Industrial Systems,Engineering,Poland,V-074,C,MRO,26296.69,Standard,ERP Portal,happy_path,13,0,289.2065,240.0,True,1.0,True,3.0203333333333333,286.1860555555556,0.38461538461538464
P2P-000026,2026-02-22 18:23:09+00:00,2026-03-02 13:58:34+00:00,Consumer Products,Facilities,Poland,V-063,C,MRO,7172.84,Standard,ERP Portal,happy_path,13,0,187.5903,240.0,False,1.0,True,2.824,184.76627777777776,0.38461538461538464
P2P-000027,2025-11-15 12:14:31+00:00,2025-12-02 19:41:59+00:00,Industrial Systems,Information Technology,Türkiye,V-019,B,Professional Services,21892.3,Standard,ERP Portal,happy_path+late_delivery,14,0,415.4578,240.0,True,0.9285714285714286,False,3.0986666666666665,412.35911111111113,0.35714285714285715
P2P-000028,2026-01-10 19:29:17+00:00,2026-01-25 04:41:31+00:00,Consumer Products,Operations,Netherlands,V-059,C,Facilities,5907.49,Strategic,ERP Portal,invoice_discrepancy,15,0,345.2041,336.0,True,0.8666666666666667,False,3.958833333333333,341.24505555555555,0.3333333333333333
P2P-000029,2025-10-11 11:54:00+00:00,2025-10-17 13:27:57+00:00,Consumer Products,Information Technology,Netherlands,V-018,A,IT Equipment,3395.11,Urgent,Catalog,three_way_match_failure,14,0,145.5661,120.0,True,0.7857142857142857,False,3.5540000000000003,142.01183333333333,0.35714285714285715
P2P-000030,2025-12-22 10:53:48+00:00,2025-12-31 03:22:34+00:00,Industrial Systems,Finance,Türkiye,V-001,A,Direct Materials,31113.61,Standard,ERP Portal,payment_rework,16,2,208.4795,240.0,False,0.8125,False,4.643166666666667,203.83627777777778,0.3125
P2P-000031,2026-05-05 13:07:47+00:00,2026-05-14 08:59:50+00:00,Consumer Products,Engineering,Türkiye,V-038,B,IT Equipment,16856.71,Urgent,Catalog,invoice_discrepancy,15,0,211.8677,120.0,True,0.8666666666666667,False,3.5075,208.36,0.3333333333333333
P2P-000032,2025-05-27 20:51:42+00:00,2025-06-03 05:21:55+00:00,Industrial Systems,Operations,Türkiye,V-021,B,Direct Materials,17520.84,Urgent,ERP Portal,happy_path,13,0,152.5036,120.0,True,1.0,True,3.2416666666666667,149.26194444444442,0.38461538461538464
P2P-000033,2025-06-17 12:07:21+00:00,2025-06-27 03:59:09+00:00,Consumer Products,Operations,Türkiye,V-075,C,Direct Materials,19654.22,Standard,Catalog,fast_track,12,0,231.8635,240.0,False,0.9230769230769231,False,2.492,229.37133333333335,0.4166666666666667
P2P-000034,2026-01-05 04:09:22+00:00,2026-01-14 09:19:48+00:00,Industrial Systems,Operations,Poland,V-029,B,MRO,4773.11,Standard,Catalog,happy_path,13,0,221.1742,240.0,False,1.0,True,3.0895,218.0843888888889,0.38461538461538464
P2P-000035,2025-12-29 05:32:34+00:00,2026-01-08 04:44:35+00:00,Corporate Services,Finance,Türkiye,V-032,B,MRO,13446.95,Standard,ERP Portal,payment_rework,16,2,239.2005,240.0,False,0.8125,False,4.736166666666667,234.46411111111112,0.3125
P2P-000036,2025-11-04 08:48:55+00:00,2025-11-13 07:58:10+00:00,Industrial Systems,Operations,Netherlands,V-053,B,Direct Materials,8208.1,Standard,Email Intake,duplicate_invoice,17,1,215.1544,240.0,False,0.7647058823529411,False,3.9551666666666665,211.199,0.35294117647058826
P2P-000037,2026-03-19 10:53:07+00:00,2026-03-30 23:01:06+00:00,Industrial Systems,Operations,Germany,V-078,C,Direct Materials,5353.3,Standard,Catalog,payment_rework,16,2,276.1332,240.0,True,0.8125,False,4.522333333333333,271.6107222222222,0.3125
P2P-000038,2025-01-18 10:41:53+00:00,2025-01-25 20:48:12+00:00,Consumer Products,Finance,Poland,V-068,C,MRO,18249.74,Strategic,ERP Portal,fast_track,12,0,178.1055,336.0,False,0.9230769230769231,False,2.4275,175.67777777777778,0.4166666666666667
P2P-000039,2026-05-11 23:59:21+00:00,2026-05-21 12:23:46+00:00,Corporate Services,Operations,Türkiye,V-071,C,Professional Services,2783.57,Standard,ERP Portal,happy_path,13,0,228.407,240.0,False,1.0,True,3.176666666666667,225.23027777777776,0.38461538461538464
P2P-000040,2025-05-29 03:59:30+00:00,2025-06-15 16:48:12+00:00,Consumer Products,Information Technology,Netherlands,V-069,C,MRO,6798.56,Standard,ERP Portal,invoice_discrepancy,15,0,420.8117,240.0,True,0.8666666666666667,False,3.4531666666666667,417.3585,0.3333333333333333
P2P-000041,2025-12-11 20:02:09+00:00,2025-12-16 20:54:55+00:00,Industrial Systems,Information Technology,Türkiye,V-055,B,Direct Materials,8092.84,Urgent,ERP Portal,happy_path,13,0,120.8795,120.0,True,1.0,True,2.9995,117.87994444444445,0.38461538461538464
P2P-000042,2025-01-02 21:42:33+00:00,2025-01-12 01:06:36+00:00,Industrial Systems,Operations,Poland,V-005,A,IT Equipment,12154.15,Strategic,ERP Portal,payment_rework,16,2,219.4009,336.0,False,0.8125,False,4.444833333333333,214.95600000000002,0.3125
P2P-000043,2025-09-24 07:44:02+00:00,2025-10-01 19:46:03+00:00,Industrial Systems,Facilities,Türkiye,V-016,A,Direct Materials,3648.1,Standard,ERP Portal,missing_approval,12,0,180.0338,240.0,False,0.9230769230769231,False,2.3048333333333333,177.72877777777776,0.4166666666666667
P2P-000044,2026-06-16 06:19:48+00:00,2026-06-27 14:53:31+00:00,Industrial Systems,Operations,Netherlands,V-046,B,Facilities,4803.47,Standard,ERP Portal,happy_path+late_delivery,14,0,272.5622,240.0,True,0.9285714285714286,False,3.7359999999999998,268.8259444444445,0.35714285714285715
P2P-000045,2025-04-30 08:56:46+00:00,2025-05-06 20:35:23+00:00,Consumer Products,Engineering,Türkiye,V-067,C,Facilities,5643.86,Urgent,ERP Portal,happy_path,13,0,155.6437,120.0,True,1.0,True,3.0014999999999996,152.64211111111112,0.38461538461538464
P2P-000046,2025-01-31 06:37:13+00:00,2025-02-07 19:15:15+00:00,Corporate Services,Facilities,Poland,V-034,B,IT Equipment,24478.92,Urgent,ERP Portal,approval_rework,15,1,180.6339,120.0,True,0.8666666666666667,False,3.260666666666667,177.3732222222222,0.3333333333333333
P2P-000047,2025-03-03 20:27:38+00:00,2025-03-15 12:07:57+00:00,Industrial Systems,Operations,Netherlands,V-067,C,Professional Services,94890.3,Standard,Catalog,three_way_match_failure,14,0,279.672,240.0,True,0.7857142857142857,False,3.4811666666666667,276.1907777777777,0.35714285714285715
P2P-000048,2025-02-08 06:07:28+00:00,2025-02-16 00:05:52+00:00,Consumer Products,Engineering,Türkiye,V-057,B,IT Equipment,22148.35,Standard,Email Intake,fast_track,12,0,185.9735,240.0,False,0.9230769230769231,False,2.732666666666667,183.24066666666667,0.4166666666666667
P2P-000049,2025-03-29 23:15:20+00:00,2025-04-09 03:08:17+00:00,Industrial Systems,Operations,Poland,V-025,B,Direct Materials,103387.46,Strategic,Catalog,happy_path,13,0,243.8826,336.0,False,1.0,True,3.6098333333333334,240.27266666666665,0.38461538461538464
P2P-000050,2026-03-07 17:24:33+00:00,2026-03-14 15:56:22+00:00,Corporate Services,Facilities,Türkiye,V-075,C,Facilities,9097.0,Standard,Email Intake,happy_path,13,0,166.5303,240.0,False,1.0,True,3.0540000000000003,163.47627777777777,0.38461538461538464
P2P-000051,2026-05-15 02:15:24+00:00,2026-05-28 09:00:51+00:00,Industrial Systems,Operations,Poland,V-044,B,Direct Materials,28301.19,Standard,Email Intake,happy_path,13,0,318.7575,240.0,True,1.0,True,3.2666666666666666,315.49083333333334,0.38461538461538464
P2P-000052,2026-04-05 22:22:16+00:00,2026-04-17 00:11:27+00:00,Industrial Systems,Information Technology,Germany,V-079,C,MRO,26350.07,Standard,ERP Portal,approval_rework,15,1,265.8199,240.0,True,0.8666666666666667,False,3.7465,262.07322222222217,0.3333333333333333
P2P-000053,2025-07-17 16:27:18+00:00,2025-07-21 23:06:31+00:00,Industrial Systems,Engineering,Türkiye,V-061,C,Professional Services,44184.97,Urgent,ERP Portal,fast_track,12,0,102.6537,120.0,False,0.9230769230769231,False,2.653,100.0006111111111,0.4166666666666667
P2P-000054,2025-08-22 14:46:54+00:00,2025-08-29 10:07:16+00:00,Industrial Systems,Engineering,Türkiye,V-011,A,Direct Materials,36743.0,Standard,ERP Portal,fast_track,12,0,163.3396,240.0,False,0.9230769230769231,False,3.1428333333333334,160.1966111111111,0.4166666666666667
P2P-000055,2025-02-12 04:13:43+00:00,2025-02-20 05:18:54+00:00,Industrial Systems,Engineering,Germany,V-024,B,MRO,1307.61,Standard,ERP Portal,happy_path,13,0,193.0864,240.0,False,1.0,True,2.791166666666667,190.2952222222222,0.38461538461538464
P2P-000056,2025-11-27 03:39:23+00:00,2025-12-08 16:59:29+00:00,Consumer Products,Information Technology,Germany,V-023,B,MRO,35957.22,Standard,ERP Portal,approval_rework,15,1,277.3351,240.0,True,0.8666666666666667,False,3.7525,273.5825,0.3333333333333333
P2P-000057,2026-06-26 22:34:18+00:00,2026-07-10 00:13:29+00:00,Corporate Services,Information Technology,Poland,V-005,A,Direct Materials,7781.07,Standard,Email Intake,happy_path+late_delivery,14,0,313.6533,240.0,True,0.9285714285714286,False,3.692833333333333,309.9602222222222,0.35714285714285715
P2P-000058,2026-06-05 04:14:36+00:00,2026-06-09 20:02:30+00:00,Industrial Systems,Engineering,Poland,V-011,A,Direct Materials,7684.19,Urgent,ERP Portal,happy_path,13,0,111.7984,120.0,False,1.0,True,2.8698333333333332,108.9285,0.38461538461538464
P2P-000059,2026-03-19 03:27:50+00:00,2026-03-27 00:42:43+00:00,Industrial Systems,Finance,Netherlands,V-012,A,Professional Services,9397.19,Standard,ERP Portal,payment_rework,16,2,189.2483,240.0,False,0.8125,False,4.378333333333333,184.86972222222224,0.3125
P2P-000060,2025-11-18 13:58:36+00:00,2025-11-29 23:01:36+00:00,Industrial Systems,Operations,Türkiye,V-066,C,MRO,23797.45,Strategic,ERP Portal,three_way_match_failure,14,0,273.0502,336.0,False,0.7857142857142857,False,3.5993333333333335,269.4506666666667,0.35714285714285715
P2P-000061,2025-06-04 10:59:55+00:00,2025-06-12 11:21:18+00:00,Industrial Systems,Operations,Netherlands,V-025,B,MRO,58850.04,Standard,ERP Portal,happy_path,13,0,192.3566,240.0,False,1.0,True,3.2625,189.0938888888889,0.38461538461538464
P2P-000062,2026-02-15 14:15:41+00:00,2026-02-24 17:12:31+00:00,Consumer Products,Information Technology,Germany,V-062,C,MRO,23321.44,Standard,ERP Portal,missing_approval,12,0,218.9474,240.0,False,0.9230769230769231,False,2.5038333333333336,216.44338888888888,0.4166666666666667
P2P-000063,2025-08-26 19:22:50+00:00,2025-09-04 19:33:10+00:00,Industrial Systems,Information Technology,Türkiye,V-072,C,Direct Materials,18067.75,Standard,ERP Portal,three_way_match_failure,14,0,216.1722,240.0,False,0.7857142857142857,False,4.449,211.7232222222222,0.35714285714285715
P2P-000064,2025-08-05 02:36:48+00:00,2025-08-11 17:10:22+00:00,Consumer Products,Engineering,Türkiye,V-057,B,MRO,35161.45,Standard,ERP Portal,happy_path,13,0,158.5595,240.0,False,1.0,True,3.1755,155.38394444444444,0.38461538461538464
P2P-000065,2025-09-30 05:14:33+00:00,2025-10-09 13:30:11+00:00,Industrial Systems,Facilities,Türkiye,V-078,C,Professional Services,3286.07,Standard,Catalog,fast_track,12,0,224.2607,240.0,False,0.9230769230769231,False,2.769,221.49155555555555,0.4166666666666667
P2P-000066,2025-03-07 15:45:06+00:00,2025-03-16 01:38:37+00:00,Consumer Products,Operations,Netherlands,V-055,B,Professional Services,32158.89,Standard,Catalog,three_way_match_failure,14,0,201.8921,240.0,False,0.7857142857142857,False,3.4638333333333335,198.42811111111112,0.35714285714285715
P2P-000067,2025-06-04 22:33:57+00:00,2025-06-12 04:27:31+00:00,Industrial Systems,Operations,Türkiye,V-030,B,IT Equipment,18910.0,Standard,Email Intake,missing_approval,12,0,173.893,240.0,False,0.9230769230769231,False,3.2256666666666667,170.66711111111113,0.4166666666666667
P2P-000068,2025-01-19 11:46:48+00:00,2025-01-28 13:23:42+00:00,Consumer Products,Operations,Germany,V-070,C,Professional Services,4489.01,Standard,ERP Portal,happy_path,13,0,217.6152,240.0,False,1.0,True,3.2021666666666664,214.41283333333334,0.38461538461538464
P2P-000069,2026-01-26 13:57:49+00:00,2026-02-07 13:01:24+00:00,Industrial Systems,Engineering,Türkiye,V-073,C,Professional Services,5646.04,Strategic,Email Intake,happy_path,13,0,287.0599,336.0,False,1.0,True,3.6161666666666665,283.4435555555555,0.38461538461538464
P2P-000070,2026-03-23 10:51:14+00:00,2026-04-06 07:07:16+00:00,Industrial Systems,Information Technology,Türkiye,V-066,C,MRO,11214.3,Standard,ERP Portal,happy_path,13,0,332.2674,240.0,True,1.0,True,3.4525,328.81472222222226,0.38461538461538464
P2P-000071,2026-03-12 04:53:36+00:00,2026-03-20 14:34:50+00:00,Industrial Systems,Engineering,Netherlands,V-034,B,Direct Materials,7102.92,Standard,ERP Portal,happy_path,13,0,201.6874,240.0,False,1.0,True,3.4778333333333333,198.2093888888889,0.38461538461538464
P2P-000072,2025-08-06 02:55:32+00:00,2025-08-13 09:39:05+00:00,Corporate Services,Operations,Türkiye,V-001,A,Professional Services,25040.65,Standard,Catalog,happy_path,13,0,174.726,240.0,False,1.0,True,3.4236666666666666,171.30216666666666,0.38461538461538464
P2P-000073,2026-01-27 21:01:35+00:00,2026-02-04 01:55:01+00:00,Consumer Products,Engineering,Netherlands,V-008,A,IT Equipment,2369.25,Standard,Catalog,happy_path,13,0,172.8908,240.0,False,1.0,True,3.057,169.83355555555556,0.38461538461538464
P2P-000074,2026-04-28 11:56:31+00:00,2026-05-07 05:25:27+00:00,Industrial Systems,Operations,Türkiye,V-006,A,IT Equipment,22284.45,Standard,ERP Portal,happy_path,13,0,209.4823,240.0,False,1.0,True,2.7231666666666663,206.75905555555556,0.38461538461538464
P2P-000075,2026-01-31 02:39:42+00:00,2026-02-10 18:37:54+00:00,Corporate Services,Engineering,Germany,V-001,A,Direct Materials,10205.26,Strategic,Email Intake,payment_rework,16,2,255.9701,336.0,False,0.8125,False,4.061833333333333,251.90816666666666,0.3125
P2P-000076,2025-12-23 20:01:04+00:00,2025-12-31 18:26:46+00:00,Consumer Products,Engineering,Türkiye,V-018,A,MRO,59621.01,Strategic,Catalog,happy_path,13,0,190.4286,336.0,False,1.0,True,2.644833333333333,187.7835,0.38461538461538464
P2P-000077,2026-04-05 12:34:21+00:00,2026-04-20 15:04:04+00:00,Consumer Products,Facilities,Germany,V-021,B,MRO,47834.1,Standard,ERP Portal,happy_path+late_delivery,14,0,362.4954,240.0,True,0.9285714285714286,False,3.9363333333333332,358.5589444444445,0.35714285714285715
P2P-000078,2026-01-05 03:40:51+00:00,2026-01-16 02:43:55+00:00,Industrial Systems,Engineering,Netherlands,V-032,B,IT Equipment,20301.42,Standard,ERP Portal,approval_rework,15,1,263.0513,240.0,True,0.8666666666666667,False,3.5853333333333333,259.46577777777776,0.3333333333333333
P2P-000079,2026-03-16 03:21:40+00:00,2026-03-25 10:14:16+00:00,Consumer Products,Information Technology,Türkiye,V-019,B,Direct Materials,90790.86,Standard,Catalog,happy_path,13,0,222.8769,240.0,False,1.0,True,2.884,219.99266666666668,0.38461538461538464
P2P-000080,2026-06-21 00:44:29+00:00,2026-06-29 10:46:31+00:00,Industrial Systems,Operations,Germany,V-023,B,MRO,13152.5,Standard,ERP Portal,happy_path,13,0,202.0339,240.0,False,1.0,True,3.8164999999999996,198.2173888888889,0.38461538461538464
P2P-000081,2026-06-06 05:28:06+00:00,2026-06-13 20:17:49+00:00,Industrial Systems,Operations,Türkiye,V-004,A,Direct Materials,21006.98,Standard,ERP Portal,missing_approval,12,0,182.8289,240.0,False,0.9230769230769231,False,2.9626666666666663,179.86594444444444,0.4166666666666667
P2P-000082,2025-08-14 01:18:43+00:00,2025-08-22 00:10:44+00:00,Industrial Systems,Operations,Türkiye,V-001,A,Facilities,10208.13,Standard,ERP Portal,happy_path,13,0,190.8671,240.0,False,1.0,True,3.012333333333333,187.8546111111111,0.38461538461538464
P2P-000083,2025-06-07 08:07:29+00:00,2025-06-14 11:07:04+00:00,Industrial Systems,Information Technology,Netherlands,V-017,A,Facilities,24987.37,Standard,ERP Portal,happy_path,13,0,170.9933,240.0,False,1.0,True,2.814833333333333,168.17822222222222,0.38461538461538464
P2P-000084,2025-09-12 15:08:14+00:00,2025-09-21 02:07:08+00:00,Consumer Products,Engineering,Türkiye,V-010,A,Direct Materials,997.01,Standard,ERP Portal,approval_rework,15,1,202.9819,240.0,False,0.8666666666666667,False,4.227833333333333,198.75383333333332,0.3333333333333333
P2P-000085,2025-12-25 19:21:43+00:00,2026-01-04 21:47:11+00:00,Industrial Systems,Finance,Türkiye,V-060,C,Direct Materials,5825.52,Urgent,ERP Portal,fast_track+late_delivery,13,0,242.4246,120.0,True,0.8461538461538461,False,3.0283333333333333,239.3961111111111,0.38461538461538464
P2P-000086,2026-05-22 15:38:06+00:00,2026-06-01 02:48:29+00:00,Industrial Systems,Operations,Germany,V-058,B,IT Equipment,3732.88,Standard,Catalog,invoice_discrepancy,15,0,227.1733,240.0,False,0.8666666666666667,False,3.6593333333333335,223.5137222222222,0.3333333333333333
P2P-000087,2026-06-14 12:04:40+00:00,2026-06-23 12:11:57+00:00,Industrial Systems,Finance,Türkiye,V-064,C,Direct Materials,7138.81,Standard,ERP Portal,payment_rework,16,2,216.1215,240.0,False,0.8125,False,3.8761666666666668,212.24522222222222,0.3125
P2P-000088,2025-05-28 15:47:04+00:00,2025-06-03 15:03:50+00:00,Consumer Products,Engineering,Poland,V-019,B,IT Equipment,51184.58,Standard,Catalog,happy_path,13,0,143.2795,240.0,False,1.0,True,3.057666666666667,140.22177777777776,0.38461538461538464
P2P-000089,2025-06-02 07:00:43+00:00,2025-06-15 06:07:14+00:00,Consumer Products,Engineering,Germany,V-065,C,MRO,40305.34,Standard,ERP Portal,happy_path,13,0,311.1088,240.0,True,1.0,True,3.3256666666666663,307.7829444444444,0.38461538461538464
P2P-000090,2026-02-04 09:06:19+00:00,2026-02-17 19:58:14+00:00,Consumer Products,Engineering,Netherlands,V-033,B,Facilities,4292.78,Standard,ERP Portal,invoice_discrepancy,15,0,322.8654,240.0,True,0.8666666666666667,False,3.756,319.10927777777783,0.3333333333333333
P2P-000091,2025-08-04 00:55:14+00:00,2025-08-12 07:36:31+00:00,Consumer Products,Facilities,Türkiye,V-028,B,Professional Services,16652.69,Strategic,ERP Portal,happy_path,13,0,198.6883,336.0,False,1.0,True,3.4978333333333333,195.19022222222222,0.38461538461538464
P2P-000092,2025-01-07 05:09:32+00:00,2025-01-24 23:04:41+00:00,Industrial Systems,Information Technology,Türkiye,V-065,C,Professional Services,11447.26,Standard,ERP Portal,happy_path+late_delivery,14,0,425.9193,240.0,True,0.9285714285714286,False,3.5308333333333333,422.3883333333334,0.35714285714285715
P2P-000093,2026-05-10 21:44:13+00:00,2026-05-20 07:52:05+00:00,Consumer Products,Operations,Türkiye,V-040,B,MRO,48527.1,Standard,ERP Portal,happy_path,13,0,226.1311,240.0,False,1.0,True,3.0805000000000002,223.05061111111112,0.38461538461538464
P2P-000094,2025-03-09 18:26:06+00:00,2025-03-17 15:02:11+00:00,Industrial Systems,Information Technology,Germany,V-018,A,Direct Materials,7153.2,Standard,ERP Portal,duplicate_invoice,17,1,188.6015,240.0,False,0.7647058823529411,False,4.468333333333334,184.13305555555556,0.35294117647058826
P2P-000095,2026-02-02 01:34:35+00:00,2026-02-20 05:37:56+00:00,Corporate Services,Engineering,Poland,V-067,C,Direct Materials,27273.24,Standard,ERP Portal,approval_rework+late_delivery,16,1,436.0559,240.0,True,0.8125,False,3.8268333333333335,432.229,0.3125
P2P-000096,2026-04-09 00:40:11+00:00,2026-04-18 08:55:45+00:00,Industrial Systems,Finance,Türkiye,V-041,B,Professional Services,29475.72,Standard,ERP Portal,happy_path,13,0,224.2597,240.0,False,1.0,True,3.1646666666666667,221.09477777777778,0.38461538461538464
P2P-000097,2025-12-10 00:39:18+00:00,2025-12-17 02:28:17+00:00,Industrial Systems,Finance,Türkiye,V-069,C,IT Equipment,21726.41,Standard,ERP Portal,three_way_match_failure,14,0,169.8165,240.0,False,0.7857142857142857,False,3.791333333333333,166.02505555555555,0.35714285714285715
P2P-000098,2025-12-02 18:22:19+00:00,2025-12-10 05:21:35+00:00,Industrial Systems,Information Technology,Türkiye,V-077,C,MRO,4686.96,Standard,ERP Portal,happy_path,13,0,178.9878,240.0,False,1.0,True,3.2121666666666666,175.77561111111112,0.38461538461538464
