resource_id,resource_role,event_count,case_count,processing_hours,automated_rate,workload_share
R-13,Requester,746,742,126.33866666666667,0.8914209115281502,0.0030260891244389128
R-09,Requester,769,768,125.80749999999999,0.9141742522756827,0.0030133665137317303
R-12,Requester,773,769,125.40433333333334,0.9133247089262613,0.003003709784738736
R-17,Requester,728,724,125.404,0.8928571428571429,0.0030037018006717716
R-14,Requester,742,740,125.08166666666666,0.898921832884097,0.0029959812079175547
R-08,Requester,726,725,124.41133333333333,0.8884297520661157,0.0029799252492528896
R-07,Requester,738,738,124.152,0.8970189701897019,0.002973713645154874
R-01,Requester,735,729,123.92983333333332,0.8938775510204081,0.0029683922645233475
R-04,Requester,705,703,122.06383333333333,0.8921985815602836,0.0029236974576587063
R-05,Requester,736,733,118.9835,0.9171195652173914,0.002849916694844102
R-16,Requester,706,704,118.7125,0.9008498583569405,0.0028434256484023454
R-11,Requester,741,737,118.16566666666668,0.9122807017543859,0.002830327786547854
R-10,Requester,720,718,116.99533333333332,0.9194444444444444,0.002802295727437143
R-02,Requester,720,717,114.768,0.9166666666666666,0.002748946191983493
R-03,Requester,697,696,112.95916666666668,0.9167862266857962,0.0027056206526031826
R-18,Requester,708,703,109.92483333333332,0.9166666666666666,0.002632941691029614
AB-01,AP Bot,6385,6193,106.74983333333333,1.0,0.0025568934531972256
AB-02,AP Bot,6359,6162,105.48716666666665,1.0,0.0025266498075374785
V-078,Supplier,251,188,54.130166666666675,0.0,0.0012965366263223647
V-008,Supplier,236,173,53.6205,0.0,0.001284328987934362
V-032,Supplier,236,191,52.685500000000005,0.0,0.0012619336801002572
V-077,Supplier,223,158,52.06216666666667,0.0,0.0012470034748775206
V-064,Supplier,222,162,51.00983333333334,0.0,0.001221797775472077
V-033,Supplier,229,179,50.540333333333336,0.0,0.00121055221715324
V-066,Supplier,222,168,50.342166666666664,0.0,0.001205805689343124
V-007,Supplier,215,165,49.74516666666666,0.0,0.0011915062254105456
V-038,Supplier,217,165,49.198499999999996,0.0,0.0011784123555895359
V-022,Supplier,216,169,49.164333333333325,0.0,0.0011775939887257226
V-060,Supplier,211,156,48.03666666666666,0.0,0.0011505838901864083
V-067,Supplier,210,154,47.494666666666674,0.0,0.0011376017973028952
V-061,Supplier,210,158,47.26366666666666,0.0,0.0011320688388968218
V-013,Supplier,209,156,46.97333333333333,0.0,0.0011251147165711516
V-069,Supplier,200,143,46.225833333333334,0.0,0.0011072104464043137
V-006,Supplier,196,155,46.169000000000004,0.0,0.0011058491629869465
V-047,Supplier,209,162,46.161833333333334,0.0,0.0011056775055472198
V-017,Supplier,204,156,45.9945,0.0,0.0011016695039312767
V-012,Supplier,199,148,45.8915,0.0,0.0010992024272393913
V-070,Supplier,199,147,45.86716666666667,0.0,0.001098619590351017
V-053,Supplier,196,152,45.7385,0.0,0.0010955377405029013
V-055,Supplier,207,161,45.682333333333325,0.0,0.001094192425219462
V-036,Supplier,204,163,45.5865,0.0,0.0010918970059673036
V-042,Supplier,206,159,45.30366666666667,0.0,0.001085122525148324
V-024,Supplier,207,165,45.217666666666666,0.0,0.001083062635871604
V-080,Supplier,198,140,45.11716666666666,0.0,0.0010806554396819486
V-035,Supplier,203,162,44.51466666666667,0.0,0.0010662242386444642
V-027,Supplier,197,151,44.33383333333333,0.0,0.0010618928823164775
V-062,Supplier,192,140,44.249,0.0,0.001059860937274132
V-068,Supplier,203,158,44.09049999999999,0.0,0.0010560645134327354
V-058,Supplier,197,154,43.97183333333334,0.0,0.001053222185593541
V-074,Supplier,185,137,43.913000000000004,0.0,0.0010518129977743894
V-021,Supplier,187,151,43.717333333333336,0.0,0.0010471263504665037
V-076,Supplier,193,147,43.705000000000005,0.0,0.0010468309399888345
V-072,Supplier,190,138,43.42716666666667,0.0,0.0010401762201743153
V-052,Supplier,203,149,43.415333333333336,0.0,0.001039892785797092
V-057,Supplier,195,157,43.38133333333334,0.0,0.001039078410966761
V-071,Supplier,196,150,43.20249999999999,0.0,0.0010347949590405585
V-043,Supplier,188,150,42.94233333333333,0.0,0.001028563394775133
V-005,Supplier,203,166,42.89216666666666,0.0,0.0010273617926970463
V-001,Supplier,205,165,42.811166666666665,0.0,0.001025421664424787
V-049,Supplier,199,159,42.656333333333336,0.0,0.0010217130653199951
V-048,Supplier,197,149,42.55516666666667,0.0,0.001019289900996412
V-002,Supplier,189,145,42.44483333333333,0.0,0.0010166471748313177
V-040,Supplier,190,146,42.21766666666666,0.0,0.001011206033195331
V-004,Supplier,198,158,42.14266666666666,0.0,0.0010094096181284243
V-031,Supplier,188,152,41.978500000000004,0.0,0.0010054774651486395
V-050,Supplier,193,149,41.891333333333336,0.0,0.0010033896316375456
V-065,Supplier,190,142,41.842666666666666,0.0,0.001002223957860797
V-073,Supplier,183,143,41.717999999999996,0.0,0.0009992379168162497
V-014,Supplier,189,151,41.459999999999994,0.0,0.00099305824898609
V-003,Supplier,184,142,41.31916666666666,0.0,0.0009896849806937873
V-030,Supplier,187,151,41.297333333333334,0.0,0.0009891620243076434
V-025,Supplier,187,149,41.266666666666666,0.0,0.0009884274901469526
V-010,Supplier,186,148,40.95,0.0,0.0009808426265311239
V-059,Supplier,180,129,40.895833333333336,0.0,0.000979545215649469
V-063,Supplier,175,130,40.75966666666667,0.0,0.0009762837242946626
V-034,Supplier,193,155,40.69883333333333,0.0,0.000974826632073727
V-075,Supplier,174,130,40.152,0.0,0.0009617287702192353
V-056,Supplier,179,135,40.007,0.0,0.0009582557010898821
V-009,Supplier,181,150,39.94266666666667,0.0,0.0009567147761658243
V-079,Supplier,176,142,39.8475,0.0,0.0009544353250475936
V-020,Supplier,182,147,39.57566666666666,0.0,0.0009479243184384268
V-019,Supplier,184,151,39.54933333333334,0.0,0.0009472935771482686
V-046,Supplier,177,136,39.24216666666667,0.0,0.0009399362594409147
V-028,Supplier,175,141,39.157333333333334,0.0,0.0009379043143985688
V-044,Supplier,181,147,38.73083333333334,0.0,0.0009276887007180921
V-037,Supplier,183,140,38.400999999999996,0.0,0.000919788466457184
V-023,Supplier,172,136,37.44533333333334,0.0,0.0008968981464713093
V-045,Supplier,169,140,37.2255,0.0,0.0008916326543085311
V-039,Supplier,171,134,37.18183333333333,0.0,0.0008905867415362432
V-041,Supplier,172,147,36.987500000000004,0.0,0.0008859320304962136
V-018,Supplier,174,142,36.87649999999999,0.0,0.0008832733361971912
V-011,Supplier,164,129,36.37199999999999,0.0,0.0008711894508471314
V-026,Supplier,170,135,36.24166666666667,0.0,0.0008680676806641957
V-051,Supplier,168,140,36.15233333333334,0.0,0.0008659279507178357
V-029,Supplier,164,129,35.86366666666666,0.0,0.0008590137487269852
V-015,Supplier,156,127,34.9765,0.0,0.0008377641545022187
V-054,Supplier,157,127,34.074333333333335,0.0,0.0008161552772640707
V-016,Supplier,148,129,31.696833333333334,0.0,0.0007592089196431244
